_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10264100,Your spot in Copacabana,Apartment,Entire home/apt,Real Bed,2,15,Strict,11-02-2019 05:00,13-08-2016 04:00,18-03-2018 04:00,6,2,3,8,2,798,500,150,20,4,59,Brazil,BR,-22.96270793,-43.17714542,52772199,FALSE,Brazil,Ana Lúcia,100,1,11,247,41,71
10266175,Makaha Valley Paradise with OceanView,Individual Apartments,Entire home/apt,Pull-out Sofa,3,180,moderate,06-03-2019 05:00,18-06-2016 04:00,28-02-2019 05:00,4,1,2,32,1,95,0,130,0,1,56,United States,US,21.4818,-158.20291,42868615,FALSE,Canada,Ray And Lise,100,2,0,246,3,16
10267144,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,Real Bed,1,1125,Strict,11-02-2019 05:00,04-12-2016 05:00,12-12-2018 05:00,3,1,2,29,1,858,1865,112,112,3,59,Brazil,BR,-22.98034625,-43.20056249,4428126,TRUE,Brazil,Cesar,93,3,18,345,40,70
10269320,FloresRooms 3T,Apartment,Entire home/apt,Real Bed,2,1124,moderate,16-02-2019 05:00,18-01-2016 05:00,01-02-2019 05:00,2,1,1,225,2,31,200,10,0,1,56,Portugal,PT,41.14404,-8.61205,51724179,TRUE,Portugal,Andreia,100,6,13,278,43,62
10280433,~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,Real Bed,2,30,Strict,06-03-2019 05:00,08-08-2016 04:00,19-02-2019 05:00,2,1,1,103,1.5,185,300,80,0,2,59,United States,US,19.42151,-155.21763,52785887,TRUE,United States,Mike,100,1,20,165,45,75
10295352,"Amazing and Big Apt, Ipanema Beach.",Apartment,Entire home/apt,Real Bed,1,1125,flexible,11-02-2019 05:00,08-08-2016 04:00,20-08-2016 04:00,6,3,4,0,3,1999,0,0,0,1,0,Brazil,BR,-22.98310875,-43.20465631,52966539,FALSE,Brazil,Pedro,0,1,0,0,0,0
10299095,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,Real Bed,4,1125,moderate,11-02-2019 05:00,20-08-2016 04:00,20-08-2016 04:00,1,1,1,1,1,71,0,20,0,1,28,Brazil,BR,-22.93848269,-43.17645081,52988408,FALSE,Brazil,Fernanda,0,2,0,0,0,0
102995,UWS Brownstone Near Central Park,Apartment,Entire home/apt,Real Bed,21,30,moderate,06-03-2019 05:00,29-05-2011 04:00,01-01-2018 05:00,3,1,2,45,1,212,275,120,0,1,50,United States,US,40.78558,-73.9696,178043,TRUE,United States,Chas,95,4,0,5,3,5
10306879,Alugo Apart frente mar Barra Tijuca,Apartment,Entire home/apt,Real Bed,10,90,flexible,11-02-2019 05:00,29-05-2011 04:00,18-02-2019 05:00,4,1,2,0,2,933,0,0,0,1,0,Brazil,BR,-23.01111701,-43.36831677,53027036,FALSE,Brazil,Paulo Cesar,0,1,28,363,58,88
103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,Entire home/apt,Real Bed,2,300,Strict,07-03-2019 05:00,21-09-2013 04:00,18-02-2019 05:00,2,1,1,117,2,175,300,90,300,2,55,United States,US,40.71577,-73.96053,465278,FALSE,New York,Ade,100,1,28,363,58,88
